City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,jamestown,42.097,-79.2353,5.85,93,100,1.54,US,1679954935
217,bachaquero,9.9694,-71.1494,29.93,58,46,2.88,VE,1679954935
218,westport,41.1415,-73.3579,11.42,57,100,4.12,US,1679954935
219,eyrarbakki,63.863,-21.1481,-2.9,67,12,5.64,IS,1679954936
220,keetmanshoop,-26.5833,18.1333,24.47,20,0,2.61,NA,1679954936
221,sibolga,1.7427,98.7792,24.53,93,100,1.66,ID,1679954936
222,mawlaik,23.6333,94.4167,18.57,82,15,1.14,MM,1679954936
223,lakes entrance,-37.8811,147.981,17.87,90,24,1.28,AU,1679954937
224,qaanaaq,77.484,-69.3632,-23.01,65,32,3.0,GL,1679954937
225,saldanha,-33.0117,17.9442,18.21,59,1,5.03,ZA,1679954937
226,cabo san lucas,22.8909,-109.9124,26.45,46,75,3.6,MX,1679954745
227,zhongshu,24.5167,103.7667,9.17,87,99,1.88,CN,1679954937
228,puerto escondido,15.85,-97.0667,30.46,70,0,3.09,MX,1679954937
229,cherskiy,68.75,161.3,-16.48,74,8,7.45,RU,1679954938
230,padang,-0.9492,100.3543,24.03,88,91,1.8,ID,1679954938
231,kingsville,27.5159,-97.8561,28.23,73,100,5.66,US,1679954938
232,lujan,-34.5703,-59.105,23.34,55,0,3.79,AR,1679954939
233,altay,47.8667,88.1167,0.74,58,88,2.98,CN,1679954939
234,cabedelo,-6.9811,-34.8339,27.37,74,99,4.33,BR,1679954939
235,takoradi,4.8845,-1.7554,26.9,81,81,2.08,GH,1679954940
236,zhuhai,22.2769,113.5678,16.88,94,40,5.14,CN,1679954941
237,castro,-24.7911,-50.0119,17.88,89,96,3.46,BR,1679954942
238,rio grande,-32.035,-52.0986,20.06,63,0,4.55,BR,1679954942
239,kununurra,-15.7667,128.7333,22.99,94,48,0.0,AU,1679954943
240,tulagi,-9.0996,160.1476,28.15,76,100,7.56,SB,1679954944
241,yar-sale,66.8333,70.8333,-23.69,100,79,3.54,RU,1679954944
242,yuci,37.6803,112.7319,2.86,52,85,1.0,CN,1679954944
243,youhao,47.8667,128.8333,-2.89,60,11,0.97,CN,1679954945
244,vao,-22.6667,167.4833,25.12,82,97,7.22,NC,1679954777
245,tura,25.5198,90.2201,18.79,85,0,2.09,IN,1679954947
246,quatre cocos,-20.2078,57.7625,23.94,81,9,0.96,MU,1679954947
247,tasiilaq,65.6145,-37.6368,-10.91,76,35,2.93,GL,1679954947
248,gotsu,35.0,132.2167,8.77,71,1,1.69,JP,1679954948
249,sicamous,50.8331,-118.9856,8.94,52,82,1.68,CA,1679954951
250,taksimo,56.3444,114.8794,-7.24,93,69,0.89,RU,1679954653
251,upernavik,72.7868,-56.1549,-27.35,93,11,3.79,GL,1679954953
252,arona,28.0996,-16.681,21.51,67,0,1.54,ES,1679954953
253,kaitangata,-46.2817,169.8464,8.27,67,74,6.4,NZ,1679954956
254,novikovo,51.1537,37.8879,7.17,65,42,1.01,RU,1679954957
255,faya,18.3851,42.4509,13.29,87,78,2.55,SA,1679954960
256,alekseyevsk,57.8406,108.3492,0.58,93,100,5.6,RU,1679954964
257,banda aceh,5.5577,95.3222,26.03,86,88,3.55,ID,1679954965
258,ust-koksa,50.2696,85.6108,-1.1,86,4,0.32,RU,1679954966
259,rosarito,32.3333,-117.0333,23.68,29,51,2.25,MX,1679954966
260,boa esperanca,-21.09,-45.5658,22.21,82,83,1.4,BR,1679954967
261,amapa,1.0,-52.0,22.87,98,100,1.44,BR,1679954790
262,namatanai,-3.6667,152.4333,28.22,70,63,2.26,PG,1679954969
263,caohai,26.8661,104.2841,4.76,92,96,1.8,CN,1679954973
264,abha,18.2164,42.5053,13.14,82,0,5.14,SA,1679954975
265,thompson,55.7435,-97.8558,-13.43,81,100,4.38,CA,1679954975
266,la ronge,55.1001,-105.2842,-11.45,74,100,3.83,CA,1679954976
267,maloy,61.9353,5.1136,0.85,77,1,2.85,NO,1679954976
268,harda,22.3333,77.1,23.25,28,0,0.76,IN,1679954976
269,itoman,26.1247,127.6694,17.01,79,75,6.17,JP,1679954978
270,meulaboh,4.1363,96.1285,24.44,90,98,1.88,ID,1679954978
271,ayan,56.45,138.1667,-13.24,85,18,0.86,RU,1679954978
272,anloga,5.7947,0.8973,28.23,73,85,4.37,GH,1679954979
273,necochea,-38.5473,-58.7368,22.0,34,0,5.4,AR,1679954979
274,kokopo,-4.352,152.2633,27.32,67,73,2.33,PG,1679954979
275,watsa,3.0372,29.5355,18.04,95,91,1.3,CD,1679954980
276,mizdah,31.4451,12.9801,16.75,44,4,4.81,LY,1679954980
277,naspur,18.8333,79.45,26.99,37,68,0.65,IN,1679954980
278,cahabon,15.5667,-89.8167,32.15,30,0,2.3,GT,1679954981
279,castelo branco,39.8222,-7.4909,11.08,51,67,0.94,PT,1679954981
280,anadyr,64.75,177.4833,-16.72,59,0,7.0,RU,1679954982
281,sindor,62.8629,51.8905,-6.71,94,100,5.19,RU,1679954982
282,kisaran,2.9845,99.6158,23.3,97,100,0.79,ID,1679954982
283,virginia beach,36.8529,-75.978,24.03,67,75,8.23,US,1679954692
284,puerto suarez,-18.95,-57.8,24.6,91,100,1.07,BO,1679954983
285,touros,-5.1989,-35.4608,25.33,86,45,4.05,BR,1679954983
286,oussouye,12.485,-16.5469,23.22,68,56,3.94,SN,1679954984
287,bac lieu,9.285,105.7244,26.63,80,99,3.91,VN,1679954985
288,smithers,54.7804,-127.1743,5.18,38,20,1.03,CA,1679954756
289,petropavlovsk-kamchatskiy,53.0452,158.6483,-0.12,64,75,9.0,RU,1679954986
290,mananjary,-21.2167,48.3333,24.09,92,100,2.14,MG,1679954987
291,kavaratti,10.5669,72.642,27.05,73,73,5.49,IN,1679954987
292,fuxin,42.0156,121.6589,3.03,33,5,1.6,CN,1679954987
293,zheleznodorozhnyy,55.7503,38.0042,4.1,94,72,2.08,RU,1679954919
294,hualmay,-11.0964,-77.6139,25.01,74,95,3.63,PE,1679954988
295,maumere,-8.6199,122.2111,26.22,81,100,2.56,ID,1679954988
296,mizque,-17.941,-65.3402,19.61,73,94,2.12,BO,1679954926
297,indramayu,-6.3264,108.32,26.42,85,100,2.68,ID,1679954989
298,magdagachi,53.45,125.8,-9.78,97,57,0.49,RU,1679954989
299,vesoul,47.5833,5.8333,2.27,87,15,0.8,FR,1679954989
300,ibra,22.6906,58.5334,22.87,52,16,2.5,OM,1679954990
301,soloneshnoye,51.6544,84.3197,0.73,92,54,1.83,RU,1679954990
302,griffith,41.5284,-87.4237,9.06,59,0,4.63,US,1679954990
